AtcoCode,CommonName,StopType,ShortCommonName,Street,Longitude,Latitude,ModifiedDate,CreatedDate,LocalityName,Easting,Northing
700000010311,Toberdoney  Cross,BusCoachTramOnStreetPoint,,,-6.4620884971,55.1407776117,09/07/2020,09/07/2020,Coleraine,298123,433702
700000010312,Toberdoney  Church,BusCoachTramOnStreetPoint,,,-6.4596400155,55.1457144799,09/07/2020,09/07/2020,Coleraine,298267,434255
700000010313,Cabragh  Road  End,BusCoachTramOnStreetPoint,,,-6.4585699746,55.1478389872,09/07/2020,09/07/2020,Coleraine,298330,434493
700000010314,Colman  Avenue,BusCoachTramOnStreetPoint,,,-6.4579037293,55.15819733,09/07/2020,09/07/2020,Coleraine,298347,435647
700000010315,Liscolman  Post  Office,BusCoachTramOnStreetPoint,,,-6.4579810811,55.167576898,09/07/2020,09/07/2020,Coleraine,298319,436691
700000010316,89 Lisnagat  Road,BusCoachTramOnStreetPoint,,,-6.4553318647,55.1691244241,09/07/2020,09/07/2020,Coleraine,298484,436867
700000010317,73  Lisnagat  Road,BusCoachTramOnStreetPoint,,,-6.4407261587,55.1701961578,09/07/2020,09/07/2020,Coleraine,299412,437007
700000010318,The Manse,BusCoachTramOnStreetPoint,,,-6.4211133764,55.1654141369,09/07/2020,09/07/2020,Coleraine,300673,436502
700000010319,Moycraig  Cross,BusCoachTramOnStreetPoint,,,-6.4149860406,55.1639443546,09/07/2020,09/07/2020,Coleraine,301067,436348
700000010321,Finlay's Road,BusCoachTramOnStreetPoint,,,-5.6487369545,54.5776029123,09/07/2020,09/07/2020,Newtownards,352086,372468
700000010322,Lisnagat Road,BusCoachTramOnStreetPoint,,,-6.427120872,55.1689025994,09/07/2020,09/07/2020,Coleraine,300282,436882
700000010323,7e+011,BusCoachTramOnStreetPoint,,,-6.4158642342,55.1647101945,09/07/2020,09/07/2020,Coleraine,301010,436432
700000010325,7e+011,BusCoachTramOnStreetPoint,,,-6.4158471449,55.1651411748,09/07/2020,09/07/2020,Coleraine,301010,436480
